"Nimble Payments by BBVA","Nimble Payments by BBVA"
"Card payment was rejected. Please try again.","Se ha rechazado el pago. Por favor, inténtalo de nuevo."
"Enabled/Disabled","Habilitar/Deshabilitar"
"Title","Nombre"
"Could not connect to the bank. Code ERR_PAG.","Error al conectar a Nimbe Payments. Código ERR_CONEX."
"An error has occurred. Code ERR_PAG.","Error en el pago. Código ERR_PAG."
"Data invalid gateway to accept payments.","Datos de pasarela no válidos para aceptar pagos. Asegúrate de que no sean de una pasarela de Test."
"Pay safely with your credit card through the BBVA.","Paga de manera segura con tarjeta con la garantía de BBVA."
"Nimble Payments Transaction ID","Nimble Payments Identificador"
"Card payment","Pago con tarjeta"
"Need an <strong>Nimble Payments</strong> account?.","Si no estas registrado aún en <strong>Nimble Payments</strong>, puedes registrarte sin coste de forma completamente online."
"Signup now.","Regístrate."
"Yes","Si"
"No","No"
"Already registered.","Ya registrado."
